fecha,temperatura,humedad,radiacion_solar,precipitacion,zona,tipo_suelo,ph_suelo,nitrogeno,fosforo,potasio,cultivo,rendimiento
2018-01-01,17.34,87.91,16.52,2.5,El Poblado,arcilloso,6.3,49.64,32.74,42.35,cilantro,17.5310805841464
2018-01-02,16.75,90.71,15.41,5.45,El Poblado,organico,6.23,54.64,77.46,108.39,lechuga,17.34134074177699
2018-01-03,16.78,92.56,19.63,10.21,El Poblado,franco,6.62,56.5,22.1,58.24,cilantro,18.51591782121864
2018-01-04,17.54,87.22,18.22,2.27,El Poblado,arcilloso,6.83,117.92,74.73,66.25,tomate,17.775748885847932
2018-01-05,17.15,89.4,16.24,3.78,El Poblado,arcilloso,7.46,56.08,66.07,137.85,lechuga,17.422094495092093
2018-01-06,16.92,88.78,18.95,7.29,El Poblado,organico,6.96,30.87,37.23,43.33,fresa,18.06335591978904
2018-01-07,16.53,88.96,22.24,2.07,El Poblado,franco,6.79,97.83,24.44,135.26,lechuga,18.48661781666886
2018-01-08,17.45,85.69,17.1,15.22,El Poblado,franco,6.17,56.61,37.39,85.05,tomate,18.212597261916038
2018-01-09,15.6,94.87,9.96,24.62,El Poblado,arcilloso,5.57,82.09,24.96,43.21,lechuga,17.453261785494835
2018-01-10,16.19,78.54,18.38,2.97,El Poblado,arenoso,6.08,112.44,49.28,125.51,tomate,16.47253973351349
2018-01-11,17.22,86.6,16.02,9.03,El Poblado,arcilloso,7.04,77.55,50.24,104.82,fresa,17.543045720512797
2018-01-12,16.15,92.96,12.2,4.93,El Poblado,arcilloso,5.91,83.77,63.77,65.09,lechuga,16.946406915517443
2018-01-13,15.95,95.33,14.52,7.58,El Poblado,arcilloso,6.92,84.29,46.95,59.09,cilantro,17.91274380667977
2018-01-14,16.42,92.76,16.34,4.0,El Poblado,arcilloso,6.66,81.24,34.16,74.72,cilantro,17.6672793578412
2018-01-15,16.16,91.01,15.39,4.72,El Poblado,organico,5.84,35.98,73.81,37.71,tomate,17.07088339257029
2018-01-16,16.3,91.87,12.98,11.29,El Poblado,franco,6.02,65.64,15.46,125.2,tomate,16.812027264051242
2018-01-17,16.55,89.77,12.69,3.6,El Poblado,organico,6.49,20.77,66.61,56.23,tomate,16.739429513880978
2018-01-18,17.0,89.75,14.61,3.5,El Poblado,organico,6.34,82.63,38.67,127.49,zanahoria,17.160211625429255
2018-01-19,17.61,88.31,17.35,3.34,El Poblado,organico,7.06,77.54,22.68,115.07,fresa,17.742507182212687
2018-01-20,17.27,88.59,22.12,1.96,El Poblado,arcilloso,6.97,51.81,18.42,142.44,zanahoria,18.146257746539955
2018-01-21,17.6,86.97,19.55,1.46,El Poblado,arenoso,6.65,72.39,25.45,32.89,tomate,18.159442114608893
2018-01-22,17.45,87.92,15.23,1.11,El Poblado,franco,7.14,69.31,18.54,65.39,cilantro,16.96143441746528
2018-01-23,16.82,86.41,17.01,0.08,El Poblado,arenoso,6.63,45.09,42.13,101.1,cilantro,17.17146505589858
2018-01-24,16.82,84.76,18.37,0.57,El Poblado,organico,7.43,49.33,34.48,131.61,tomate,17.553019427239487
2018-01-25,17.15,84.74,21.63,0.69,El Poblado,organico,5.93,96.25,34.96,40.23,espinaca,17.760729701080404
2018-01-26,16.8,88.26,14.3,0.92,El Poblado,arenoso,6.93,95.57,20.98,131.98,zanahoria,16.968770460300373
2018-01-27,17.64,87.81,19.32,5.5,El Poblado,arenoso,6.24,66.98,56.18,28.71,tomate,18.127936404263913
2018-01-28,17.54,89.12,16.23,8.26,El Poblado,arenoso,6.06,91.75,52.55,81.67,espinaca,17.860516902260652
2018-01-29,18.13,87.51,19.62,1.35,El Poblado,organico,5.86,65.08,78.76,30.98,lechuga,18.294983287228558
2018-01-30,17.98,89.24,16.53,0.52,El Poblado,organico,6.61,105.14,21.74,39.48,lechuga,17.485593157447674
2018-01-31,18.22,87.4,18.41,0.39,El Poblado,franco,5.93,53.28,68.38,120.74,cilantro,17.974978015338554
2018-02-01,18.53,86.41,17.96,1.15,El Poblado,franco,5.9,112.73,12.37,22.42,lechuga,17.86974756627565
2018-02-02,18.0,89.64,13.94,2.84,El Poblado,organico,7.48,74.23,15.13,92.2,lechuga,17.246131028604076
2018-02-03,17.71,88.73,11.75,0.84,El Poblado,arenoso,7.1,73.57,55.36,32.78,lechuga,16.555226834351117
2018-02-04,18.55,84.93,16.41,0.47,El Poblado,arenoso,7.0,87.08,38.45,125.46,fresa,17.29872531116292
2018-02-05,18.49,86.54,14.0,0.36,El Poblado,franco,7.09,54.09,26.14,125.06,fresa,16.766466810915233
2018-02-06,18.62,86.5,20.03,0.75,El Poblado,organico,7.44,92.43,10.19,111.36,zanahoria,18.43673930280462
2018-02-07,18.45,84.57,23.04,0.39,El Poblado,franco,6.65,52.04,56.42,118.27,tomate,18.449847794241663
2018-02-08,18.32,86.76,19.34,0.99,El Poblado,franco,5.94,59.75,40.86,96.8,espinaca,18.204317714129967
2018-02-09,17.56,86.16,19.06,1.16,El Poblado,arcilloso,7.22,87.47,21.96,83.11,cilantro,17.389418285328585
2018-02-10,18.49,86.72,18.23,3.13,El Poblado,arcilloso,6.99,57.84,78.06,73.32,zanahoria,18.12531542905274
2018-02-11,17.66,91.66,11.12,5.16,El Poblado,arcilloso,6.33,40.0,34.56,105.97,zanahoria,16.59574206116879
2018-02-12,17.51,91.07,16.73,1.31,El Poblado,arenoso,6.45,107.19,31.21,69.76,fresa,17.98696014721829
2018-02-13,17.57,87.0,18.86,0.22,El Poblado,organico,6.32,112.22,45.72,20.36,fresa,17.597772804526855
2018-02-14,16.94,82.94,12.55,1.07,El Poblado,organico,7.36,82.67,29.4,33.1,zanahoria,16.102419758874333
2018-02-15,17.54,86.97,16.11,6.5,El Poblado,organico,6.19,101.12,29.09,104.74,cilantro,17.64164191079531
2018-02-16,17.81,87.41,16.02,3.58,El Poblado,organico,7.43,118.67,77.64,67.44,zanahoria,17.385701786478247
2018-02-17,17.44,90.45,15.48,1.15,El Poblado,arcilloso,7.32,81.48,28.28,148.64,fresa,17.655341176114632
2018-02-18,17.16,89.87,18.82,2.85,El Poblado,arenoso,6.76,110.88,52.38,66.01,cilantro,17.833025459801664
2018-02-19,16.95,89.64,21.01,15.03,El Poblado,arenoso,6.66,55.93,12.62,34.1,tomate,18.8609809191668
2018-02-20,17.06,90.88,18.09,36.28,El Poblado,arcilloso,6.24,90.05,20.8,62.69,tomate,19.22253095818022
2018-02-21,17.25,87.26,21.49,16.02,El Poblado,arenoso,5.54,25.58,11.55,109.29,zanahoria,18.810770954811122
2018-02-22,16.77,90.65,14.11,7.46,El Poblado,arcilloso,5.76,98.9,47.41,88.68,lechuga,17.365917179946265
2018-02-23,16.34,90.48,15.47,10.93,El Poblado,organico,7.01,102.98,44.41,99.34,cilantro,17.58357984408269
2018-02-24,15.67,91.68,15.73,9.37,El Poblado,arcilloso,6.44,60.12,33.16,34.46,cilantro,17.514827457012764
2018-02-25,16.52,82.11,17.2,6.52,El Poblado,organico,5.8,83.9,59.02,127.51,tomate,16.949388240501634
2018-02-26,17.09,81.61,21.58,0.72,El Poblado,organico,6.03,105.84,53.81,137.31,fresa,17.70588606920128
2018-02-27,17.01,86.24,16.54,0.55,El Poblado,franco,7.4,108.36,52.02,38.9,cilantro,17.062543025246885
2018-02-28,18.0,84.41,18.57,1.05,El Poblado,arcilloso,6.23,30.65,33.54,101.4,zanahoria,17.655927361981615
2018-03-01,18.32,82.96,21.58,0.39,El Poblado,franco,7.32,102.75,32.9,49.87,cilantro,17.850852624590907
2018-03-02,17.8,85.56,13.48,1.3,El Poblado,arcilloso,6.11,47.42,71.14,43.7,fresa,16.486525592128473
2018-03-03,17.91,85.93,17.4,0.76,El Poblado,arcilloso,6.59,92.73,48.08,46.59,tomate,17.33348145966095
2018-03-04,17.62,86.9,15.43,0.69,El Poblado,franco,5.54,52.52,29.06,87.77,cilantro,17.120784184837536
2018-03-05,17.87,87.58,17.58,4.34,El Poblado,franco,6.54,25.63,48.03,135.17,cilantro,17.989882442480443
2018-03-06,17.06,88.36,14.23,1.43,El Poblado,arcilloso,6.77,40.99,28.67,126.42,fresa,16.82701916756104
2018-03-07,18.38,84.44,21.14,1.77,El Poblado,arenoso,5.97,60.87,22.97,38.64,lechuga,18.134650002869748
2018-03-08,18.72,86.37,20.1,3.71,El Poblado,organico,6.66,94.12,29.75,86.29,fresa,18.361628294217194
2018-03-09,18.46,88.42,20.59,1.74,El Poblado,franco,6.79,30.07,54.02,39.62,zanahoria,18.625894842734393
2018-03-10,19.0,83.15,24.32,0.15,El Poblado,organico,6.87,101.29,46.11,76.95,fresa,18.903285086990383
2018-03-11,19.34,79.92,26.57,0.03,El Poblado,arenoso,7.05,119.7,21.52,93.13,lechuga,19.438305247681992
2018-03-12,20.01,79.74,20.32,0.66,El Poblado,arenoso,6.12,98.83,73.55,125.51,cilantro,18.26786726006123
2018-03-13,17.99,90.68,14.81,3.55,El Poblado,arenoso,6.64,67.37,44.88,131.97,lechuga,17.289376272721373
2018-03-14,19.24,78.57,22.7,3.26,El Poblado,franco,7.46,76.82,65.56,23.6,espinaca,18.18594878765337
2018-03-15,17.28,88.97,10.19,3.4,El Poblado,arenoso,7.3,20.62,33.15,109.6,lechuga,16.20147154957188
2018-03-16,17.95,87.79,21.25,3.47,El Poblado,franco,7.41,40.93,77.03,73.32,tomate,18.83047665729519
2018-03-17,18.25,87.64,17.95,1.36,El Poblado,arenoso,6.27,109.9,62.65,84.34,cilantro,17.887689479681974
2018-03-18,17.53,91.91,15.85,10.13,El Poblado,organico,7.07,22.17,41.82,48.84,espinaca,18.33526477281484
2018-03-19,17.91,89.09,15.83,7.47,El Poblado,organico,6.74,110.48,73.16,24.46,espinaca,17.95691246437776
2018-03-20,18.03,90.71,14.15,2.45,El Poblado,arcilloso,5.67,31.33,60.22,128.6,lechuga,17.436454756683258
2018-03-21,18.03,88.65,16.3,2.94,El Poblado,organico,7.15,33.31,40.14,49.98,espinaca,17.519456987280414
2018-03-22,17.08,91.3,11.18,3.83,El Poblado,arcilloso,6.85,37.53,78.19,134.44,zanahoria,16.93293364878868
